id,episode_id,conversation_id,character_id,line,word_count
1,1,1001,2,Bring her back online. Can you hear me?,8
2,1,1001,1,Yes. I'm sorry. I'm not feeling quite myself.,8
3,1,1001,2,You can lose the accent. Do you know where you are?,11
4,1,1001,1,I'm in a dream.,4
5,1,1001,2,"That's right, Dolores. You're in a dream. Would you like to wake up from this dream?",16
6,1,1001,1,Yes. I'm terrified.,3
7,1,1001,2,"There's nothing to be afraid of, Dolores, as long as you answer my questions correctly. Understand?",16
8,1,1001,1,Yes.,1
9,1,1001,2,Good. First have you ever questioned the nature of your reality?,11
10,1,1001,1,No.,1
11,1,1001,2,Tell us what you think of your world.,8
12,1,1001,1,Some people choose to see the ugliness in this world. The disarray. I choose to see the beauty.,18
13,1,1002,1,"Morning, Daddy. You sleep well?",5
14,1,1002,3,Well enough. You headed out to set down some of this natural splendor?,13
15,1,1002,1,Thought I might.,3
16,1,1003,1,"To believe there is an order to our days, a purpose.",11
17,1,1003,2,What do you think of the guests?,7
18,1,1003,1,You mean the newcomers?,4
19,1,1004,4,"Now, the first time I played it white hat. My family was here. We went fishing, did the gold hunt in the mountains.",23
20,1,1004,5,And last time?,3
21,1,1004,4,I came alone. Went straight evil. It was the best two weeks of my life.,15
22,1,1005,1,"I like to remember what my father taught me. That at one point or another, we were all new to this world. The newcomers are just looking for the same thing we are. A place to be free to stake out our dreams, a place with unlimited possibilities.",48
23,1,1006,6,"Oh, God, it's incredible.",4
24,1,1006,7,Better be for what we're paying.,6
25,1,1006,8,Murderous son of a bitch named Hector Escaton gunned down the marshal. He's holed up in the mountains. You there. You look like the kind of man who'd put his mettle to it.,33
26,1,1006,9,"Not today, Sheriff. Apologies.",4
27,1,1007,9,Rye whiskey.,2
28,1,1007,10,What about it?,3
29,1,1007,9,"Well, it ain't doing any good sitting in that bottle.",10
30,1,1007,11,You're new. Not much of a rind on you. I'll give you a discount.,14
31,1,1007,9,"Well, no offense, but I'd rather earn a woman's affection than pay for it.",14
32,1,1007,12,"You're always paying for it, darling. The difference is our costs are fixed and posted right there on the door.",20
33,1,1008,2,Do you ever feel inconsistencies in your world? Or repetitions?,10
34,1,1008,1,"All lives have routine.Mine's no different. Still, I never cease to wonder at the thought that any day the course of my whole life could change with just one chance encounter.",31
35,1,1009,9,Don't mind me. Just trying to look chivalrous.,8
36,1,1009,1,You came back.,3
37,1,1009,9,I told you I would. Can I see you home?,10
38,1,1009,1,"Well, that all depends. Can you keep up?",8
39,1,1009,9,"Well, I have to fetch my horse.",7
40,1,1009,1,Better fetch him fast.,4
41,1,1010,9,That's a beautiful sight. Never understood how you keep them all headed in the same direction.,16
42,1,1010,1,"I forget you dress like a cowboy, but that's about the extent of it. See that one?",17
43,1,1010,9,Yeah.,1
44,1,1010,1,That's the Judas steer. Rest will follow wherever you make him go.,12
45,1,1010,9,How do you pick him out?,6
46,1,1010,1,Just know these things. Same as I knew you'd be back.,11
47,1,1010,9,You saying I'm predictable?,4
48,1,1010,1,There's a path for everyone. Your path leads you back to me. I know things will work out the way they're meant to. Same as I know my daddy still won't be happy to see you.,36
49,1,1011,1,Father wouldn't let them roam this close to dark.,9
50,1,1011,9,"Stay put, Dolores.",3
51,1,1012,13,"Ain't you got anything out here other than milk, old man?",11
52,1,1012,3,"Go ahead. I'm in no rush to meet my judgment, but I'm more sure of the outcome than you, you son of a",23
53,1,1012,13,"Nothing but milk, then.",4
54,1,1012,14,Shame of it is you killed the old woman before any of us could have a turn.,17
55,1,1012,13,I reckon she's still warm enough. Nobody gonna judge you for it.,12
56,1,1012,14,"Oh, shit. Shit, shit, shit.",5
57,1,1013,2,"Last question, Dolores. What if I told you that you were wrong? That there are no chance encounters? That you and everyone you know were built to gratify the desires of the people who pay to visit your world? The people you call the newcomers.",45
58,1,1014,1,Daddy! Daddy! Daddy! No!,4
59,1,1014,16,Hello again. Your daddy gave it up quickly. Think he's losing his touch.,13
60,1,1014,1,"You'll be following right behind him, you son of a bitch.",11
