subtitle_index,start,end,text,season_num,episode_num,episode_name,filename
1,00:01:52.076000,00:01:53.876000,<i>Bring her back online.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
2,00:02:02.117000,00:02:03.787000,<i>Can you hear me?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
3,00:02:03.887000,00:02:05.417000,<i>Yes.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
4,00:02:05.527000,00:02:08.088000,<i>I'm sorry. I'm not feeling quite myself.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
5,00:02:08.198000,00:02:09.898000,<i>You can lose the accent.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
6,00:02:09.998000,00:02:12.398000,<i>Do you know where you are?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
7,00:02:12.498000,00:02:14.098000,<i>I'm in a dream.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
8,00:02:14.198000,00:02:17.198000,"<i>That's right, dolores. You're in a dream.</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
9,00:02:17.308000,00:02:19.769000,<i>Would you like to wake up from this dream?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
10,00:02:19.869000,00:02:21.269000,<i>Yes.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
11,00:02:21.379000,00:02:22.979000,<i>I'm terrified.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
12,00:02:23.079000,00:02:25.009000,"<i>There's nothing to be afraid of, dolores,</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
13,00:02:25.109000,00:02:27.510000,<i>As long as you answer my questions correctly.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
14,00:02:27.620000,00:02:30.850000,<i> Understand? Yes.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
15,00:02:30.950000,00:02:32.120000,<i>Good.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
16,00:02:32.220000,00:02:33.720000,<i>First...</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
17,00:02:33.820000,00:02:37.961000,<i>Have you ever questioned the nature of your reality?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
18,00:02:40.531000,00:02:41.591000,<i>No.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
19,00:02:46.301000,00:02:48.532000,<i>Tell us what you think of your world.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
20,00:02:50.942000,00:02:54.412000,<i>Some people choose to see the ugliness in this world.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
21,00:02:57.813000,00:02:59.313000,<i>The disarray.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
22,00:03:01.353000,00:03:03.283000,<i>I choose to see the beauty.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
23,00:03:06.153000,00:03:08.624000,"Morning, daddy. You sleep well?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
24,00:03:08.724000,00:03:10.364000,Well enough.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
25,00:03:10.464000,00:03:13.564000,You headed out to set down some of this natural splendor?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
26,00:03:13.664000,00:03:16.104000,Thought i might.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
27,00:03:17.874000,00:03:22.275000,"<i>To believe there is an order to our days,</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
28,00:03:22.375000,00:03:23.805000,<i>A purpose.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
29,00:03:28.416000,00:03:31.446000,<i> What do you think of the guests?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
30,00:03:31.556000,00:03:34.456000,<i>You mean the newcomers?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
31,00:03:34.556000,00:03:36.456000,"<i>Now, the first time i played it white hat.</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
32,00:03:36.556000,00:03:38.126000,My family was here.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
33,00:03:38.226000,00:03:40.757000,"We went fishing, did the gold hunt in the mountains.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
34,00:03:40.867000,00:03:43.967000,And last time? I came alone.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
35,00:03:44.067000,00:03:45.397000,Went straight evil.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
36,00:03:45.497000,00:03:48.267000,It was the best two weeks of my life.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
37,00:03:50.038000,00:03:52.578000,<i>I like to remember what my father taught me.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
38,00:03:56.448000,00:03:58.679000,"<i>That at one point or another,</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
39,00:03:58.779000,00:04:00.549000,<i>We were all new to this world.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
40,00:04:09.160000,00:04:12.960000,<i>The newcomers are just looking for the same thing we are--</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
41,00:04:13.060000,00:04:15.260000,<i>A place to be free</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
42,00:04:15.370000,00:04:18.270000,"<i>To stake out our dreams,</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
43,00:04:18.370000,00:04:21.071000,<i>A place with unlimited possibilities.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
44,00:04:21.171000,00:04:23.741000,"Oh, god, it's incredible.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
45,00:04:23.841000,00:04:25.881000,Better be for what we're paying.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
46,00:05:12.226000,00:05:15.726000,Murderous son of a bitch named hector escaton,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
47,00:05:15.836000,00:05:17.666000,Gunned down the marshal.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
48,00:05:17.766000,00:05:19.607000,He's holed up in the mountains.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
49,00:05:19.707000,00:05:21.207000,You there.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
50,00:05:21.307000,00:05:23.877000,You look like the kind of man who'd put his mettle to it.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
51,00:05:23.977000,00:05:27.377000,"Not today, sheriff. Apologies.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
52,00:05:32.088000,00:05:33.788000,Rye whiskey.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
53,00:05:35.118000,00:05:36.918000,What about it?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
54,00:05:37.018000,00:05:39.188000,"Well, it ain't doing any good sitting in that bottle.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
55,00:05:39.288000,00:05:41.789000,<i> </i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
56,00:05:50.470000,00:05:51.800000,You're new.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
57,00:05:53.710000,00:05:55.980000,Not much of a rind on you.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
58,00:05:56.080000,00:05:57.640000,I'll give you a discount.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
59,00:05:57.750000,00:06:00.411000,"Well, no offense, but...",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
60,00:06:00.511000,00:06:03.121000,I'd rather earn a woman's affection than pay for it.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
61,00:06:03.221000,00:06:05.251000,"You're always paying for it, darling.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
62,00:06:05.351000,00:06:09.421000,The difference is our costs are fixed and posted right there on the door.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
63,00:06:20.233000,00:06:23.673000,<i>Do you ever feel inconsistences in your world?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
64,00:06:24.743000,00:06:27.173000,<i>Or repetitions?</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
65,00:06:27.283000,00:06:29.173000,<i>All lives have routine.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
66,00:06:29.283000,00:06:31.284000,<i>Mine's no different.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
67,00:06:31.384000,00:06:35.154000,"<i>Still, i never cease to wonder at the thought</i>",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
68,00:06:35.254000,00:06:37.324000,<i>That any day the course of my whole life</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
69,00:06:37.424000,00:06:39.994000,<i>Could change with just one chance encounter.</i>,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
70,00:06:40.094000,00:06:41.655000,Don't mind me.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
71,00:06:43.795000,00:06:45.465000,Just trying to look chivalrous.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
72,00:06:48.105000,00:06:49.535000,You came back.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
73,00:06:49.635000,00:06:51.836000,I told you i would.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
74,00:06:55.576000,00:06:56.846000,Can i see you home?,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
75,00:06:56.946000,00:07:00.176000,"Well, that all depends. Can you keep up?",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
76,00:07:00.276000,00:07:02.687000,"Well, i have to fetch my horse.",1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
77,00:07:03.687000,00:07:05.187000,Better fetch him fast.,1,1,The Original,Westworld - 1x01 - The Original.HDTV.FLEET.en.srt
